iter	Passed	Remaining
0	19	19137
1	48	24425
2	73	24474
3	101	25383
4	117	23382
5	148	24530
6	177	25175
7	205	25474
8	233	25758
9	261	25931
10	289	26022
11	317	26129
12	346	26312
13	375	26455
14	404	26540
15	432	26579
16	459	26597
17	488	26658
18	516	26658
19	531	26060
20	561	26153
21	590	26248
22	618	26255
23	645	26245
24	673	26281
25	702	26330
26	731	26374
27	747	25959
28	775	25972
29	804	26017
30	832	26035
31	869	26311
32	897	26309
33	913	25941
34	942	25976
35	976	26153
36	1028	26780
37	1061	26880
38	1091	26890
39	1120	26881
40	1149	26881
41	1178	26880
42	1206	26861
43	1235	26838
44	1263	26815
45	1292	26811
46	1322	26821
47	1352	26819
48	1383	26844
49	1411	26821
50	1439	26788
51	1476	26911
52	1506	26918
53	1536	26915
54	1565	26898
55	1594	26884
56	1624	26874
57	1653	26859
58	1684	26861
59	1713	26845
60	1740	26799
61	1756	26577
62	1784	26539
63	1813	26517
64	1842	26508
65	1870	26471
66	1901	26475
67	1934	26507
68	1964	26502
69	1976	26260
70	2004	26226
71	2032	26196
72	2060	26166
73	2088	26136
74	2104	25958
75	2133	25944
76	2161	25912
77	2190	25894
78	2220	25888
79	2249	25873
80	2278	25854
81	2307	25832
82	2336	25815
83	2365	25794
84	2393	25765
85	2422	25744
86	2450	25713
87	2479	25698
88	2508	25677
89	2539	25677
90	2570	25672
91	2599	25653
92	2626	25617
93	2657	25611
94	2685	25579
95	2713	25550
96	2742	25532
97	2750	25312
98	2779	25291
99	2807	25270
100	2837	25254
101	2865	25228
102	2895	25218
103	2924	25191
104	2964	25272
105	2992	25239
106	3020	25204
107	3049	25188
108	3078	25166
109	3085	24967
110	3114	24945
111	3143	24923
112	3171	24895
113	3182	24737
114	3209	24701
115	3239	24688
116	3268	24669
117	3297	24649
118	3326	24624
119	3360	24641
120	3387	24611
121	3416	24585
122	3444	24558
123	3473	24537
124	3489	24425
125	3517	24400
126	3545	24372
127	3557	24237
128	3586	24218
129	3616	24202
130	3646	24187
131	3662	24085
132	3669	23921
133	3697	23895
134	3725	23873
135	3758	23880
136	3802	23950
137	3832	23939
138	3863	23932
139	3880	23836
140	3911	23826
141	3944	23835
142	3979	23849
143	3993	23741
144	4027	23748
145	4058	23736
146	4090	23733
147	4120	23721
148	4151	23708
149	4184	23714
150	4217	23714
151	4231	23609
152	4263	23602
153	4295	23598
154	4327	23589
155	4361	23598
156	4396	23604
157	4426	23589
158	4457	23575
159	4482	23532
160	4510	23506
161	4538	23476
162	4567	23452
163	4600	23451
164	4628	23424
165	4666	23443
166	4695	23419
167	4724	23399
168	4736	23289
169	4764	23259
170	4775	23153
171	4803	23125
172	4831	23098
173	4861	23076
174	4890	23053
175	4920	23035
176	4948	23008
177	4976	22981
178	4997	22921
179	5025	22893
180	5054	22871
181	5083	22849
182	5114	22831
183	5141	22803
184	5170	22776
185	5198	22750
186	5226	22723
187	5256	22704
188	5285	22679
189	5314	22654
190	5341	22625
191	5369	22597
192	5398	22574
193	5428	22554
194	5458	22533
195	5492	22529
196	5524	22520
197	5555	22503
198	5585	22483
199	5614	22456
200	5644	22435
201	5671	22405
202	5700	22381
203	5728	22354
204	5758	22331
205	5786	22303
206	5814	22276
207	5842	22246
208	5870	22218
209	5900	22195
210	5928	22169
211	5956	22139
212	5984	22112
213	6012	22084
214	6041	22056
215	6068	22028
216	6110	22047
217	6138	22018
218	6167	21992
219	6196	21967
220	6223	21938
221	6251	21906
222	6280	21881
223	6308	21855
224	6337	21830
225	6366	21804
226	6395	21777
227	6424	21752
228	6453	21728
229	6481	21698
230	6509	21669
231	6537	21639
232	6564	21610
233	6593	21582
234	6621	21554
235	6655	21544
236	6683	21515
237	6710	21486
238	6740	21460
239	6768	21432
240	6796	21405
241	6824	21375
242	6852	21347
243	6880	21318
244	6909	21291
245	6936	21261
246	6964	21232
247	6992	21203
248	7031	21206
249	7058	21176
250	7088	21152
251	7116	21124
252	7144	21093
253	7172	21065
254	7201	21038
255	7229	21010
256	7258	20985
257	7286	20956
258	7316	20931
259	7344	20902
260	7373	20877
261	7401	20848
262	7431	20824
263	7465	20813
264	7494	20786
265	7522	20758
266	7552	20734
267	7580	20705
268	7609	20677
269	7638	20652
270	7666	20623
271	7693	20592
272	7722	20565
273	7751	20539
274	7782	20518
275	7812	20494
276	7840	20465
277	7870	20439
278	7899	20415
279	7928	20388
280	7956	20358
281	7986	20333
282	8014	20305
283	8042	20276
284	8070	20247
285	8099	20220
286	8128	20194
287	8158	20170
288	8187	20142
289	8215	20113
290	8243	20085
291	8273	20059
292	8301	20032
293	8329	20001
294	8356	19971
295	8386	19946
296	8416	19922
297	8446	19897
298	8475	19871
299	8504	19844
300	8533	19818
301	8574	19818
302	8603	19791
303	8635	19769
304	8663	19742
305	8694	19718
306	8723	19691
307	8752	19664
308	8781	19636
309	8810	19609
310	8838	19581
311	8866	19551
312	8894	19521
313	8922	19493
314	8950	19464
315	8978	19435
316	9007	19407
317	9036	19379
318	9065	19353
319	9095	19327
320	9123	19298
321	9152	19271
322	9179	19240
323	9208	19212
324	9235	19182
325	9264	19154
326	9292	19125
327	9328	19112
328	9357	19084
329	9385	19055
330	9413	19027
331	9442	18997
332	9470	18969
333	9498	18940
334	9528	18915
335	9556	18884
336	9584	18855
337	9613	18828
338	9641	18800
339	9669	18770
340	9697	18740
341	9725	18711
342	9755	18685
343	9784	18658
344	9812	18628
345	9841	18602
346	9871	18576
347	9899	18547
348	9930	18523
349	9959	18496
350	9988	18468
351	10015	18438
352	10045	18411
353	10072	18381
354	10100	18351
355	10130	18325
356	10157	18295
357	10186	18267
358	10214	18237
359	10244	18212
360	10272	18183
361	10301	18156
362	10329	18126
363	10357	18097
364	10386	18070
365	10414	18039
366	10442	18010
367	10471	17982
368	10499	17954
369	10528	17927
370	10557	17899
371	10585	17869
372	10614	17842
373	10642	17813
374	10670	17784
375	10698	17755
376	10726	17726
377	10754	17696
378	10782	17667
379	10810	17638
380	10838	17608
381	10868	17583
382	10897	17555
383	10925	17526
384	10952	17496
385	10981	17467
386	11010	17440
387	11038	17411
388	11067	17383
389	11096	17355
390	11125	17329
391	11170	17326
392	11200	17299
393	11228	17270
394	11259	17245
395	11288	17217
396	11317	17190
397	11346	17161
398	11375	17134
399	11404	17106
400	11433	17079
401	11462	17050
402	11491	17023
403	11519	16994
404	11549	16967
405	11577	16938
406	11605	16909
407	11634	16881
408	11664	16855
409	11693	16827
410	11722	16798
411	11750	16770
412	11780	16743
413	11810	16716
414	11842	16694
415	11872	16667
416	11902	16641
417	11931	16612
418	11961	16585
419	11990	16558
420	12017	16527
421	12044	16497
422	12072	16468
423	12100	16438
424	12127	16408
425	12155	16378
426	12183	16349
427	12211	16320
428	12239	16290
429	12266	16260
430	12294	16230
431	12322	16201
432	12350	16172
433	12378	16142
434	12405	16113
435	12433	16084
436	12461	16054
437	12488	16023
438	12516	15994
439	12543	15964
440	12570	15934
441	12598	15905
442	12627	15876
443	12654	15846
444	12682	15817
445	12709	15787
446	12736	15757
447	12764	15727
448	12791	15697
449	12819	15668
450	12848	15639
451	12876	15610
452	12905	15582
453	12934	15555
454	12962	15526
455	12989	15496
456	13019	15469
457	13046	15439
458	13074	15410
459	13102	15380
460	13130	15351
461	13159	15324
462	13186	15294
463	13214	15265
464	13241	15235
465	13269	15205
466	13296	15175
467	13323	15145
468	13351	15116
469	13378	15086
470	13405	15055
471	13432	15026
472	13459	14995
473	13486	14966
474	13515	14938
475	13543	14909
476	13572	14881
477	13603	14855
478	13630	14826
479	13658	14796
480	13687	14768
481	13714	14738
482	13742	14709
483	13769	14680
484	13806	14660
485	13834	14631
486	13863	14603
487	13893	14577
488	13921	14548
489	13949	14519
490	13977	14489
491	14004	14459
492	14031	14430
493	14059	14401
494	14087	14372
495	14116	14344
496	14144	14315
497	14172	14286
498	14200	14257
499	14229	14229
500	14257	14200
501	14284	14170
502	14312	14141
503	14339	14112
504	14367	14083
505	14395	14054
506	14423	14025
507	14450	13995
508	14477	13965
509	14505	13937
510	14533	13907
511	14562	13879
512	14592	13853
513	14620	13823
514	14649	13795
515	14676	13766
516	14713	13745
517	14741	13716
518	14768	13687
519	14796	13657
520	14823	13628
521	14851	13599
522	14879	13571
523	14907	13541
524	14935	13512
525	14962	13483
526	14990	13454
527	15018	13425
528	15047	13397
529	15075	13368
530	15104	13340
531	15132	13312
532	15163	13285
533	15192	13257
534	15219	13228
535	15247	13199
536	15275	13170
537	15302	13140
538	15330	13111
539	15357	13082
540	15386	13054
541	15415	13026
542	15442	12996
543	15472	12969
544	15500	12940
545	15528	12911
546	15556	12883
547	15585	12855
548	15613	12826
549	15640	12796
550	15667	12767
551	15695	12738
552	15723	12709
553	15751	12680
554	15778	12651
555	15808	12623
556	15835	12594
557	15864	12566
558	15891	12537
559	15918	12507
560	15946	12478
561	15973	12449
562	16001	12420
563	16028	12390
564	16055	12361
565	16083	12332
566	16110	12302
567	16138	12274
568	16165	12244
569	16193	12215
570	16220	12186
571	16248	12158
