iter	Logloss
0	0.6800900113
1	0.6610523905
2	0.6461725785
3	0.6314183
4	0.6206099723
5	0.6074091415
6	0.5959181111
7	0.5857206262
8	0.5771043754
9	0.5683249524
10	0.5613074306
11	0.5541608519
12	0.5486955591
13	0.5439393526
14	0.5389456574
15	0.5347529197
16	0.529757867
17	0.5250959884
18	0.5216568445
19	0.5196638997
20	0.5161545608
21	0.5137371715
22	0.5111564055
23	0.5086597098
24	0.5065823198
25	0.5041027647
26	0.5020103036
27	0.501030059
28	0.5001095238
29	0.4988678544
30	0.4969612484
31	0.4954403053
32	0.4936084901
33	0.4931596335
34	0.4916245527
35	0.4905820836
36	0.4896406092
37	0.4889029121
38	0.4882065302
39	0.4872785026
40	0.4862431986
41	0.4854783112
42	0.4844694086
43	0.4835087717
44	0.4823571684
45	0.4815624472
46	0.4805510206
47	0.4799266721
48	0.478877347
49	0.4785550855
50	0.4782616217
51	0.4771899886
52	0.4767211999
53	0.4762852597
54	0.4758922528
55	0.4751960798
56	0.4747118836
57	0.4740989201
58	0.4733904453
59	0.4731281615
60	0.4729279922
61	0.4728813244
62	0.4725931129
63	0.4722285552
64	0.4719797235
65	0.4715623935
66	0.4713170073
67	0.4710693369
68	0.470392782
69	0.4703919765
70	0.4702089395
71	0.4699625919
72	0.4696269407
73	0.4692057053
74	0.4691506833
75	0.4685854674
76	0.468403631
77	0.4681771046
78	0.467599442
79	0.4674275929
80	0.4673193441
81	0.4670840607
82	0.4667740131
83	0.4662632503
84	0.4660960249
85	0.465800662
86	0.4653944737
87	0.4652197523
88	0.4651446245
89	0.4650455466
90	0.4644287902
91	0.4642341958
92	0.46411208
93	0.4638905327
94	0.4637557137
95	0.463590057
96	0.4634361796
97	0.4634361584
98	0.4631397107
99	0.4628895418
100	0.4627630189
101	0.4626216171
102	0.4622991959
103	0.4620924782
104	0.4616551103
105	0.4614453474
106	0.4613311431
107	0.461115984
108	0.4610060687
109	0.4610060632
110	0.4605586052
111	0.4605100028
112	0.4600110888
113	0.4600101062
114	0.4599409098
115	0.4593631784
116	0.4593255828
117	0.4590836576
118	0.4585134021
119	0.4580930536
120	0.4578592561
121	0.4575904198
122	0.4574052121
123	0.4572681238
124	0.4572555812
125	0.4568177657
126	0.4566854124
127	0.4566835952
128	0.4563311542
129	0.4559003665
130	0.4557988106
131	0.4557967306
132	0.4557966994
133	0.4555403776
134	0.4553711386
135	0.455266676
136	0.4551019409
137	0.4550270968
138	0.454963395
139	0.4549545741
140	0.4547932656
141	0.4544712547
142	0.4544596009
143	0.4544588818
144	0.4537913729
145	0.4537225675
146	0.4536279853
147	0.453584949
148	0.4533685279
149	0.453202345
150	0.4530265832
151	0.4530265742
152	0.4526224419
153	0.452551095
154	0.452335566
155	0.4522907813
156	0.4521616608
157	0.4521208369
158	0.4519613241
159	0.4519476442
160	0.4517547221
161	0.4514217137
